employee_id,name,email,age,department,job_role,years_at_company,last_promotion_years,performance_rating,satisfaction_level,training_hours,monthly_income,attrition
EMP1025,Shannon Jones,joshuawashington@example.net,26,Sales,Data Scientist,5,5,3,0.0902897700544083,96,97107,1
EMP1026,Timothy Duncan,esanchez@example.com,27,Operations,Marketing Manager,2,2,3,0.7111495324380178,18,60411,0
EMP1027,Brent Jordan,ujenkins@example.org,53,Finance,Sales Representative,8,0,3,0.5177513505274801,0,62802,0
EMP1028,Victoria Garcia,zchandler@example.org,49,Engineering,Software Engineer,17,6,3,0.6957843993450822,6,125843,0
EMP1029,Connor West,dwhite@example.org,37,Data Science,Operations Manager,24,3,3,0.24185229090045168,47,113932,0
EMP1030,Angela Morton,williamsyvette@example.org,58,Operations,Product Manager,22,8,3,0.7003578299727713,79,155690,0
EMP1031,Tammy Allison,richardolson@example.com,41,Operations,HR Manager,23,0,4,0.08413996499504883,71,101539,0
EMP1032,Carmen Smith,ybaker@example.com,59,Operations,Sales Representative,29,2,3,0.9401334424577784,24,171497,0
EMP1033,Michael Cross,smoore@example.org,39,Data Science,HR Manager,2,0,3,0.7121792213475359,32,52987,0
EMP1034,Lauren Daniels,brian97@example.net,29,Finance,Product Manager,16,0,3,0.50881407683876,85,96830,0
EMP1035,Kim Brown,yorkcasey@example.org,43,HR,HR Manager,5,5,3,0.8920465551771133,26,85746,0
EMP1036,Cynthia Wilson,bethwilliams@example.org,55,Marketing,HR Manager,0,0,3,0.4925176938188639,68,85764,0
EMP1037,Kevin Mills,james53@example.com,40,Sales,Product Manager,16,0,5,0.46994451399094295,45,123212,0
EMP1038,Michael Evans,sarah10@example.com,27,Product,Sales Representative,8,4,5,0.42818414831731433,52,137235,0
EMP1039,Kristine Garcia,williamanderson@example.com,54,Sales,Financial Analyst,28,4,2,0.2684748568901568,66,122641,0
EMP1040,Sherry Wood,samueldaniels@example.com,46,Data Science,Financial Analyst,21,9,5,0.0704161308495439,31,101014,1
EMP1041,Victoria Valdez,contrerasangela@example.net,43,Finance,Data Scientist,30,10,3,0.3225507642386005,32,159748,1
EMP1042,Shawn Baker,newtoneric@example.com,63,Finance,Data Scientist,2,1,4,0.9132405525564713,6,56368,0
EMP1043,Michelle Harris,william40@example.org,29,Operations,HR Manager,15,2,3,0.375582952639944,65,85966,0
EMP1044,Sandra Williams,kellie42@example.net,43,Product,Software Engineer,25,5,3,0.03050024993904943,51,148006,1
EMP1045,Michael Hoffman,jonesnicole@example.org,64,Sales,Marketing Manager,0,0,4,0.2715429158197419,4,104021,0
EMP1046,Sandra Aguilar,russellwilliams@example.com,53,Sales,HR Manager,14,2,4,0.7260913337226615,12,95019,0
EMP1047,Rebecca Valencia,jason31@example.com,63,HR,Product Manager,16,7,3,0.4389714207056361,54,102945,0
EMP1048,Stacey Russell,sarayoung@example.org,58,Data Science,Marketing Manager,29,6,3,0.6884999007653664,0,169617,0
EMP1049,Rita Keith,whitesandra@example.com,22,Finance,Data Scientist,29,5,4,0.6601973767177313,0,111343,0
EMP1050,Sharon Cochran,erik16@example.org,60,Operations,Financial Analyst,4,4,3,0.24773098950115746,15,122042,0
EMP1051,Courtney Velasquez,ybailey@example.org,58,HR,Software Engineer,28,4,2,0.3114133093912942,61,156403,0
EMP1052,Matthew Ross,michelle45@example.net,26,Sales,Operations Manager,25,9,3,0.4734717707805657,32,151573,1
EMP1053,Meghan Anthony,sheila14@example.org,51,Marketing,Financial Analyst,25,9,5,0.8866803872980475,51,145158,0
EMP1054,Victoria Johnson,yreed@example.com,31,Data Science,Product Manager,25,0,3,0.6839637693981411,15,146991,0
EMP1055,William Wilson,jonathanfletcher@example.org,37,Finance,Data Scientist,16,10,4,0.6771683423829817,34,117195,0
EMP1056,Renee Mcdaniel,michaeljones@example.net,54,Engineering,Marketing Manager,18,10,5,0.38610263780077425,32,160449,0
EMP1057,Lisa Alvarado,cortezkevin@example.com,64,Sales,Marketing Manager,12,1,1,0.6182538843378929,86,84351,0
EMP1058,Erika Terry,jamesortega@example.com,50,Data Science,Data Scientist,25,1,3,0.4960374542934062,57,133513,0
EMP1059,Stephanie Gilbert,richard04@example.com,32,Marketing,Operations Manager,3,0,4,0.2820345725713065,9,94756,0
EMP1060,Richard Lawson,steven73@example.net,30,Operations,Operations Manager,2,0,4,0.1276897294224656,95,113031,0
EMP1061,Steven Flynn,donnacampbell@example.net,44,HR,Operations Manager,4,3,3,0.7508710677914974,88,121450,0
EMP1062,Frances Cardenas,emilywalker@example.org,62,HR,Software Engineer,16,3,4,0.32004960103061175,58,121954,0
EMP1063,Angel Riggs,gibsonolivia@example.net,57,Sales,Marketing Manager,8,2,2,0.31931363759041487,77,107934,0
EMP1064,Michael Snyder,dylanwatts@example.org,40,Data Science,Financial Analyst,15,4,2,0.602440925901119,51,81130,0
EMP1065,Colleen Brock,pwilliams@example.org,42,Sales,Marketing Manager,22,8,2,0.9309291056872926,57,95174,0
EMP1066,Robert Contreras,stephanie79@example.net,35,Finance,Data Scientist,4,2,4,0.3509150125520787,17,106136,0
EMP1067,Jessica Meadows,vmerritt@example.com,31,Data Science,Sales Representative,16,5,2,0.70096913145912,41,134856,0
EMP1068,Paul Larsen,katie87@example.net,48,Data Science,Data Scientist,4,4,2,0.9866395785011755,64,105854,0
EMP1069,Jeremiah Reeves,josephflores@example.net,28,Engineering,Marketing Manager,3,3,3,0.08350071669866876,60,77790,0
EMP1070,Chris Reyes,jasminebrown@example.com,48,Data Science,Data Scientist,18,6,3,0.25368217387313874,91,84709,0
EMP1071,John Brown,xprice@example.net,41,Sales,Operations Manager,28,8,4,0.681039427096909,91,167629,0
EMP1072,Alicia Gilmore,wwoods@example.com,46,Operations,Software Engineer,5,4,5,0.012154474689816341,31,87700,0
EMP1073,Sarah Ashley,vmedina@example.net,42,Operations,HR Manager,20,10,5,0.2529901679892411,18,108843,0
EMP1074,Stephanie Freeman,ryan06@example.com,39,Finance,Software Engineer,16,0,4,0.5843143119231002,15,123430,0
EMP1075,Rebecca Ramsey,ncalhoun@example.net,32,Sales,Data Scientist,15,7,3,0.10675606593588438,7,84337,1
EMP1076,James Elliott,millerroy@example.com,49,Sales,Data Scientist,7,1,3,0.26593792496423896,100,63835,0
EMP1077,David Murphy,wmurphy@example.com,48,HR,Financial Analyst,16,8,3,0.8137950197069487,91,104532,0
EMP1078,Trevor Fisher,ruizkaitlyn@example.org,56,Marketing,HR Manager,17,2,4,0.6134151959357899,65,149545,0
EMP1079,Mrs. Marie Harrington DDS,herringjames@example.org,51,Data Science,Product Manager,12,4,1,0.3764633668780496,64,67415,1
EMP1080,Cynthia Wells,elliottjeffery@example.net,32,Marketing,Data Scientist,30,8,5,0.8421189231357087,76,135384,0
EMP1081,Jacob Obrien,stricklandfrank@example.com,55,Engineering,Product Manager,30,0,1,0.07535906035246231,91,113384,1
EMP1082,Alexander Collins,tsanders@example.org,26,Finance,Marketing Manager,5,2,3,0.7689874151805105,36,59809,0
EMP1083,Michael Burton,terrykevin@example.net,31,Product,Software Engineer,20,8,2,0.9540510272587224,76,137091,0
EMP1084,Barbara Riggs,reedross@example.com,22,Engineering,Operations Manager,1,1,3,0.02218474203030163,33,108877,0
EMP1085,Matthew Smith,gshort@example.com,24,Product,Data Scientist,11,0,3,0.5609379715353863,93,104626,0
EMP1086,Madison Poole,ryangross@example.net,38,Operations,Financial Analyst,14,6,4,0.6203095513534647,65,131682,0
EMP1087,Robert Medina,umarshall@example.net,60,HR,Operations Manager,27,1,3,0.5899176868546331,29,124934,0
EMP1088,Samuel Rivas,ramirezshannon@example.com,48,Product,Financial Analyst,1,1,3,0.4509104474161044,78,99329,0
EMP1089,Mary Rogers,lrosales@example.com,38,Marketing,Marketing Manager,3,1,5,0.4921162930795382,83,75388,0
EMP1090,Robert Peterson,angela83@example.org,23,Marketing,HR Manager,10,10,3,0.07586332810866392,22,71090,1
EMP1091,Jason Peters,hannahbrewer@example.com,37,Operations,Sales Representative,7,3,3,0.8967884099060118,66,92434,0
EMP1092,Alan Phillips,tholt@example.net,50,Operations,Data Scientist,28,9,3,0.8217906368444492,81,137668,0
EMP1093,Kara Schmidt,jbarajas@example.com,43,Marketing,HR Manager,0,0,3,0.3559914842719861,45,96745,0
EMP1094,Jesse Parker,davidlee@example.org,35,Data Science,Marketing Manager,26,8,2,0.4811453940562932,85,102478,1
EMP1095,Tiffany Vaughn,javierwashington@example.net,51,Product,Financial Analyst,15,0,3,0.8062012797930613,98,125428,0
EMP1096,Paige Carlson,wallkenneth@example.com,36,Finance,Financial Analyst,23,5,3,0.7599554089375856,77,135247,0
EMP1097,Adrian Ferguson,brandon08@example.com,23,Marketing,Data Scientist,13,10,3,0.7133495858845524,22,126658,0
EMP1098,Beth Oneill,agarcia@example.net,39,Data Science,HR Manager,2,2,3,0.26924323094938096,100,59267,0
EMP1099,John Peterson,kingmichelle@example.org,31,Finance,Software Engineer,16,6,2,0.5353355640155235,24,75596,0
EMP1100,Jennifer Jones,hernandezlisa@example.com,41,Engineering,Sales Representative,9,2,4,0.4795821017542502,99,94069,0
EMP1101,David Grant,yobrien@example.net,55,Finance,Operations Manager,7,0,3,0.37877262595128935,100,121981,0
EMP1102,Joseph Hayes,levans@example.com,47,Operations,Data Scientist,26,7,3,0.330348481280914,32,124285,0
EMP1103,Marc Lynch,mezajared@example.org,42,HR,HR Manager,22,3,4,0.08788762454014387,93,107918,0
EMP1104,Brad Allen,moorericky@example.net,45,Finance,Software Engineer,22,2,3,0.4103968269896615,35,98111,0
EMP1105,Doris Hall,jacqueline71@example.net,52,HR,Data Scientist,19,10,4,0.8170720709492799,93,101234,0
EMP1106,Dennis Moody,ronaldstephens@example.net,23,Finance,Product Manager,7,1,3,0.7694929331919369,69,89105,0
EMP1107,Derek Thomas,martinkyle@example.net,25,Product,Sales Representative,0,0,4,0.5298400231811167,0,92533,0
EMP1108,Tammy Gonzales,sbarker@example.com,58,HR,Product Manager,30,3,3,0.5938830975578988,5,164383,0
EMP1109,Kathryn Snyder,georgepamela@example.net,31,Marketing,Financial Analyst,9,1,3,0.8098744458546349,64,64342,0
EMP1110,David Davis,keyemily@example.com,58,Engineering,Software Engineer,8,7,4,0.7942894499664624,94,78219,0
EMP1111,Pamela Thompson,lmoon@example.net,65,Data Science,HR Manager,20,7,5,0.20500181005323725,98,100415,0
EMP1112,Robert Costa,vbailey@example.com,43,Sales,Operations Manager,28,7,4,0.7505019247653135,59,121524,0
EMP1113,Shannon Rivera,zroberts@example.net,26,Product,Product Manager,13,9,5,0.3161965822964946,41,124303,0
EMP1114,Brandon King,cordovarichard@example.net,29,Finance,Operations Manager,13,2,4,0.539781061914633,62,94574,0
EMP1115,April Booth,mgutierrez@example.net,54,Engineering,Software Engineer,0,0,3,0.531857479688174,52,81455,0
EMP1116,Peter Garrett,harrisandrea@example.com,61,Product,Financial Analyst,18,5,5,0.6277080530714179,71,147819,0
EMP1117,Michael Martinez,jennifercollins@example.org,36,Finance,Marketing Manager,0,0,3,0.8938925830509576,35,96356,0
EMP1118,Anna Gay,murraydavid@example.org,59,Engineering,Software Engineer,28,4,4,0.14312798554846962,67,125029,0
EMP1119,Dr. Jordan Hill PhD,jsanchez@example.org,23,Data Science,Marketing Manager,26,9,3,0.8212573046720129,30,126486,0
EMP1120,Thomas Romero,michellehill@example.com,57,Marketing,Operations Manager,19,7,3,0.5398606371128367,28,97382,0
EMP1121,Richard Adams,campbellkenneth@example.net,25,Sales,Marketing Manager,1,0,4,0.6939484444671,35,66153,0
EMP1122,Mary Grimes,wryan@example.com,61,HR,HR Manager,7,6,3,0.9472833396118153,11,76368,0
EMP1123,Kimberly Gibson,molly39@example.com,54,Finance,Operations Manager,27,10,5,0.5651331835892089,67,173644,0
EMP1124,Reginald Williams,zthornton@example.com,58,Operations,Financial Analyst,9,0,3,0.6067150463828559,50,107327,0
EMP1125,Matthew Hoover,tylerjohnson@example.net,62,HR,Product Manager,22,0,2,0.9848411989623346,35,103256,0
EMP1126,Evelyn Garcia,dgarcia@example.org,22,Finance,HR Manager,22,2,3,0.39900270387013026,72,146545,0
EMP1127,Jennifer Pena,charlesharrington@example.com,47,Engineering,Product Manager,30,3,3,0.9198556164127605,1,113070,0
EMP1128,Michael Santos,melissa86@example.com,39,Product,Data Scientist,26,0,3,0.03284667024343835,50,164526,0
EMP1129,Stacy Freeman,williamsonjimmy@example.net,27,Marketing,Operations Manager,0,0,3,0.5805883502780435,21,64097,0
EMP1130,Yolanda Francis,wgood@example.net,49,Data Science,Marketing Manager,16,6,5,0.45898898801701304,19,139853,0
EMP1131,Ashlee Jackson,rebecca05@example.org,43,Sales,Financial Analyst,28,7,3,0.5953850173200438,12,142949,0
EMP1132,James Thomas,yknight@example.org,44,Product,Product Manager,23,2,3,0.46823182844137934,48,133460,0
EMP1133,Bob Pitts,tyleraguilar@example.org,51,Operations,Operations Manager,18,1,3,0.7140591997898282,65,87645,0
EMP1134,David Scott,nolansteven@example.com,49,Engineering,Data Scientist,29,5,4,0.10298147933131552,7,120342,0
EMP1135,Brooke Alexander,vanessa46@example.net,60,Product,Operations Manager,9,9,4,0.5265784666592938,96,94399,0
EMP1136,Ryan Gonzalez,gcastaneda@example.org,28,Marketing,Operations Manager,0,0,3,0.2538885640433043,86,108230,0
EMP1137,Ian Phillips,andrew64@example.org,29,HR,Software Engineer,14,4,2,0.6527461078518747,7,132929,0
EMP1138,Melissa Garner,lozanojulie@example.com,56,Operations,Operations Manager,13,7,4,0.9626493185548747,36,142358,0
EMP1139,Crystal Pham,danaoliver@example.net,39,Finance,Data Scientist,6,0,3,0.026532203873819715,18,70859,0
EMP1140,Patricia Becker,courtneyberger@example.net,50,Sales,Data Scientist,1,0,4,0.34181735169787597,1,66596,0
EMP1141,Richard Johnson,jessica14@example.com,58,HR,Operations Manager,29,8,3,0.29446575954191767,85,120771,1
EMP1142,Casey Anderson,alyssa42@example.com,45,Engineering,Data Scientist,29,7,5,0.4710654526938144,95,164920,0
EMP1143,Terry Coffey,julie51@example.com,38,HR,Software Engineer,7,1,4,0.2578876854332023,21,115693,0
EMP1144,Brenda Levy,zcoffey@example.net,25,Data Science,Data Scientist,28,1,3,0.018390676547466733,17,162268,0
EMP1145,Richard Smith,gibsonemily@example.net,63,Sales,Software Engineer,5,1,3,0.6514203883518642,75,56622,0
EMP1146,James Little,daniel37@example.org,63,HR,Marketing Manager,26,8,3,0.7321845784590624,97,143828,0
EMP1147,Terri Murphy,deborahreid@example.com,28,Data Science,Marketing Manager,16,9,3,0.7709113770642705,45,115709,0
EMP1148,Elizabeth Ortiz,brandonjohnson@example.com,64,Engineering,Product Manager,20,3,4,0.06824970535409158,10,114762,0
EMP1149,David Medina,qchavez@example.net,60,Operations,Product Manager,21,1,3,0.9540869365396331,21,108792,0
EMP1150,Kimberly Matthews,nicolepena@example.com,57,Finance,Sales Representative,18,2,4,0.8464078493145573,97,133304,0
EMP1151,Teresa Ramirez,jeff73@example.com,47,Data Science,Marketing Manager,8,8,3,0.41279355060675227,60,116337,0
EMP1152,Michael Stephens,bruce43@example.org,46,Finance,Product Manager,2,1,4,0.6946964708544268,93,74581,0
EMP1153,Samantha Davis,darleneharper@example.org,55,Sales,Product Manager,4,3,4,0.9620987857641177,16,107481,0
EMP1154,Gavin Zhang,caseyhubbard@example.org,33,HR,Operations Manager,23,2,4,0.8065611478614497,86,150756,0
EMP1155,Robin Hall,kristinacarlson@example.com,37,HR,Operations Manager,24,1,3,0.22120944181960223,25,120935,0
EMP1156,Brianna Anderson,lauren10@example.org,31,Operations,Financial Analyst,16,6,3,0.4732101180813334,6,121813,0
EMP1157,Richard Young,alfred40@example.org,36,Marketing,Financial Analyst,8,2,5,0.9710582451653678,86,77737,0
EMP1158,Kelly Reese,xwest@example.net,52,HR,Sales Representative,6,2,3,0.8289154741506773,16,109375,0
EMP1159,Jodi Walker,acostaregina@example.net,56,Sales,Sales Representative,12,1,4,0.5302651326349002,89,94662,0
EMP1160,Judith Maynard,lutzmelanie@example.com,44,Sales,Financial Analyst,14,7,3,0.7907231648389635,24,80564,0
EMP1161,Katherine Browning,lammarc@example.org,39,Engineering,Operations Manager,12,9,4,0.41750608402789213,98,126393,0
EMP1162,Donald Schultz,oscar98@example.com,55,HR,Product Manager,22,1,5,0.7987832357736654,38,115371,0
EMP1163,Larry Garcia,farrelldebra@example.net,50,HR,Software Engineer,28,4,3,0.5807572072273277,9,151072,0
EMP1164,Cindy Hayes,robertwilcox@example.com,60,Sales,Marketing Manager,0,0,3,0.11047411313139466,13,69951,0
EMP1165,Brandon Simmons,nicholas27@example.org,51,Data Science,Sales Representative,17,4,1,0.01787393473341381,78,104400,1
EMP1166,Bradley Reynolds,lisa80@example.net,36,Engineering,Software Engineer,23,3,3,0.9499611839502253,60,136028,0
EMP1167,Kristina Santiago,qgomez@example.com,64,Sales,HR Manager,6,6,5,0.4674015112498697,76,115280,0
EMP1168,Michelle Schmitt,michael98@example.org,28,Sales,Sales Representative,26,7,5,0.6496466489923685,73,147042,0
EMP1169,John Boone,megan51@example.com,55,Engineering,Data Scientist,8,0,5,0.8262056957939659,4,121948,0
EMP1170,Renee Bruce,lynchdiane@example.net,44,Engineering,Software Engineer,2,1,3,0.2602333679515273,34,74425,0
EMP1171,Christopher Park,sandra50@example.org,38,Operations,Product Manager,2,1,4,0.7478716040922285,88,113720,0
EMP1172,Kylie Morales,joycebonilla@example.org,25,HR,Marketing Manager,1,0,4,0.26560004258870606,91,117160,0
EMP1173,Cindy Barnes,eric45@example.net,24,Engineering,Data Scientist,11,9,4,0.6552419806390217,4,130762,0
EMP1174,Sophia Moore,craigjoseph@example.net,55,Operations,Sales Representative,14,5,3,0.7234201136885849,89,114873,0
EMP1175,Lawrence Perry,kariwilson@example.com,27,Marketing,Sales Representative,15,4,5,0.06151702623923505,44,87396,0
EMP1176,Michael Watkins,brandon69@example.org,24,Operations,Operations Manager,1,1,3,0.2670282701694213,5,54314,0
EMP1177,Eric Clark,kathrynroberts@example.org,37,Operations,Sales Representative,0,0,2,0.1604001053300721,12,73130,0
EMP1178,Paul Thompson,opatel@example.net,46,Marketing,Data Scientist,3,2,4,0.1892215397850059,4,104874,0
EMP1179,Mary Gomez,chensley@example.com,52,Finance,Data Scientist,9,4,4,0.1607598960483082,99,116845,0
EMP1180,Thomas Atkins,tberry@example.net,34,Marketing,Sales Representative,6,1,3,0.6169269183757422,16,88966,0
EMP1181,Brian Smith,george97@example.net,55,Sales,Operations Manager,23,2,2,0.2833429482655816,70,115257,0
EMP1182,Anita Richard,ryanmorales@example.org,62,Operations,Data Scientist,30,4,2,0.9372284872364511,95,145539,0
EMP1183,Eric Morgan,kimberly18@example.net,25,Product,Operations Manager,16,5,4,0.4735738884350885,21,102953,0
EMP1184,Jordan Bullock,michael23@example.org,39,Data Science,HR Manager,14,3,4,0.5943958592285453,75,135372,0
EMP1185,Craig Morrison,thompsonkendra@example.com,32,Engineering,HR Manager,14,2,3,0.0010294798456333965,97,99029,0
EMP1186,Justin Riley,michelle52@example.com,55,Marketing,Sales Representative,16,2,3,0.16362382119166918,28,94482,0
EMP1187,Jeremy Turner,brittany58@example.org,53,Data Science,Financial Analyst,13,3,4,0.2732595269982093,80,120413,0
EMP1188,Jesse Brown,chase19@example.net,65,Operations,Sales Representative,28,4,5,0.8573600920924986,83,159901,0
EMP1189,Julie Spencer,colelisa@example.net,40,Engineering,Marketing Manager,2,2,3,0.8940992036791344,14,50980,0
EMP1190,Larry Mason,hayeslisa@example.com,56,Operations,Software Engineer,24,7,3,0.864358249839637,79,114563,0
EMP1191,Mrs. Maria Williams,hritter@example.net,46,Engineering,Marketing Manager,20,7,4,0.8447832281168877,70,151788,0
EMP1192,Helen Hardin,vortiz@example.net,65,Marketing,Operations Manager,27,9,4,0.7965372909761763,24,151837,0
EMP1193,Rachel Holland,riveraangela@example.com,35,Finance,Software Engineer,29,3,3,0.20052472670033672,59,108109,0
EMP1194,Nathaniel Douglas,mathewaguilar@example.org,23,Operations,Operations Manager,10,0,1,0.07244688779455888,63,84009,1
EMP1195,Emily Douglas,tanderson@example.org,52,HR,Operations Manager,10,8,4,0.7798509888933498,7,119930,0
EMP1196,James Conner,elizabethcalderon@example.net,43,Product,Operations Manager,8,0,2,0.5709045018441643,78,104787,0
EMP1197,Susan Davis DDS,andrew42@example.org,54,Data Science,Operations Manager,17,0,3,0.08786649914483335,76,135985,0
EMP1198,Ralph Lee,ericphillips@example.org,43,Finance,Data Scientist,5,1,4,0.8005866991090829,97,125641,0
EMP1199,Kimberly Rodgers,stanleynancy@example.net,65,Engineering,Operations Manager,10,2,4,0.5947766373769361,72,96015,0
EMP1200,James Martin,jenniferwilliams@example.com,62,Data Science,Sales Representative,7,7,4,0.8017280830697918,61,125550,0
EMP1201,Cynthia Wallace,karen73@example.net,28,Product,Sales Representative,15,3,3,0.7838325534188619,2,131446,0
EMP1202,Vincent Mueller,michealvalentine@example.com,62,Sales,Data Scientist,13,10,4,0.5932786483101787,11,77560,0
EMP1203,Douglas Reyes,mburch@example.net,40,Finance,HR Manager,3,0,2,0.7896985071424791,54,66049,0
EMP1204,David Davidson,angela18@example.org,27,Data Science,Product Manager,21,4,5,0.9747931621467831,2,157315,0
EMP1205,Phillip Nelson,mariahdavis@example.org,31,Product,Product Manager,28,5,1,0.2576828885112137,75,150321,1
EMP1206,Stacey Arias,gbrown@example.com,45,Sales,Marketing Manager,3,3,3,0.9876495637360578,23,55703,0
EMP1207,Zachary Brooks,florescory@example.net,62,Sales,Data Scientist,20,1,3,0.8734232380816606,33,130350,0
EMP1208,Raven Taylor,samantha72@example.net,63,Product,Product Manager,25,5,3,0.3838471518677963,17,152056,0
EMP1209,Luis Bullock,scottmary@example.net,56,Data Science,Operations Manager,3,3,4,0.6325405332263061,13,105153,0
EMP1210,Lisa Henderson,john10@example.org,58,Marketing,HR Manager,12,8,3,0.8707499012725114,13,104046,0
EMP1211,Riley Bryant,copelandvincent@example.net,46,Sales,Data Scientist,6,5,4,0.3121480566964471,27,129649,0
EMP1212,Jose Allen,kellysmith@example.com,56,Marketing,Marketing Manager,30,0,4,0.13087366071834983,44,162233,0
EMP1213,Jason Beck,millsmichael@example.net,24,HR,HR Manager,15,9,3,0.6693904014593614,0,81276,0
EMP1214,Rachel Romero,myerstheodore@example.net,41,Operations,Product Manager,11,0,3,0.35925074791624556,27,102946,0
EMP1215,James Burgess,kristina53@example.net,58,Finance,Marketing Manager,11,4,4,0.7053855941122036,55,139278,0
EMP1216,Ashley Perkins,dennis58@example.com,27,Sales,Product Manager,28,3,3,0.05708685608931485,36,101281,0
EMP1217,Carrie Maxwell,epollard@example.net,50,Engineering,Financial Analyst,2,1,2,0.08855558422324139,32,53200,0
EMP1218,Chad Baldwin,mjohnson@example.org,35,Sales,Data Scientist,19,4,3,0.6859677359829841,97,128272,0
EMP1219,Stacey Stewart,zachary87@example.com,50,Engineering,Financial Analyst,30,7,3,0.4888465802569202,43,117115,0
EMP1220,Matthew Mitchell,glennmartin@example.org,44,Operations,HR Manager,12,3,4,0.20185345212294836,7,84225,0
EMP1221,Jessica Ross,ykline@example.com,42,Engineering,Financial Analyst,7,4,3,0.8681422543775054,85,107320,0
EMP1222,Kathleen Jimenez,laurie61@example.com,47,Product,Data Scientist,29,1,3,0.8308771913417055,46,153138,0
EMP1223,Samantha Gardner,curtis54@example.com,29,Engineering,HR Manager,3,0,4,0.9408753563380648,13,75508,0
EMP1224,Mitchell Jackson,cbell@example.net,26,Engineering,Data Scientist,29,1,5,0.04821203886055603,72,173576,0
EMP1225,Heather Bolton,danielle01@example.net,62,Engineering,Operations Manager,12,8,2,0.2886855955306381,74,89923,1
EMP1226,Heidi Owen,stephaniethomas@example.net,55,Marketing,HR Manager,13,3,4,0.8078459419412586,81,101426,0
EMP1227,Jessica Martinez,kimberlydiaz@example.com,32,Engineering,Operations Manager,29,5,4,0.32838122788508106,64,135723,0
EMP1228,Amanda Hernandez,xrush@example.com,28,Finance,Marketing Manager,18,8,3,0.5456868884954734,34,103443,0
EMP1229,Laura Moreno,redwards@example.org,59,Data Science,Product Manager,2,1,4,0.759344327922866,8,76612,0
EMP1230,Allison Lopez,hmcintyre@example.com,47,Operations,Operations Manager,1,1,5,0.8137662883195864,24,89779,0
EMP1231,Michele Lewis,heather73@example.org,26,Data Science,Operations Manager,4,3,3,0.3943653238183502,86,112889,0
EMP1232,Benjamin Thompson,zosborn@example.net,65,Product,Product Manager,12,4,2,0.00756287497814212,46,103310,1
EMP1233,Victoria Contreras,piercekelly@example.com,46,Sales,Product Manager,18,3,5,0.3516226872396344,33,137413,0
